Question,Answer
Is radiation therapy necessary if the margins of the removed tissue are clear for breast cancer,"Many studies have reviewed this approach for patients with invasive cancers. Nearly all show that the risk of relapse in the breast is much higher when radiation is not used (20 percent to 40 percent) than when it is (five percent to 10 percent). When breast cancer re-occurs locally (in the breast) after breast conservation surgery, patients may then need to have a mastectomy to be cured. Because having breast cancer reappear in this way is a very traumatic psychological event, and because not everyone who has a recurrence in the breast can be cured, radiation therapy after lumpectomy has become a standard part of breast-conserving therapy.
 There are several recent studies in which older patients with small, favorable invasive cancers have had a low risk of local relapse when treated with lumpectomy and hormonal therapy without radiation therapy. There is still uncertainty about the long-term results with this approach or about which individuals will do best without radiation therapy. This issue should be discussed in detail with your doctor.
 For patients with noninvasive cancer (known as ""ductal carcinoma in situ"" or DCIS) matters are more complicated. Lumpectomy without radiation works well for many patients. However, there is disagreement on who can be treated safely with just a lumpectomy. This should be discussed in detail with your doctor. Sometimes, a genomic test may be ordered on the DCIS specimen to help patients make a more informed decision on whether or not to undergo radiation therapy. These tests look at a series of genes in the tumor itself. They may provide some information about a patient's tumor recurrence risk with and without radiation therapy. These tests are new for DCIS and not all tumors are eligible for this test."
How to decide between mastectomy and breast conservation therapy?,"Breast conservation therapy is often used for patients with DCIS (Stage 0) or early-stage invasive breast cancers (called Stage I and Stage II in the classification system). It can also be used for more advanced disease that has responded well to neoadjuvant treatments. Some of the reasons to not have breast conservation therapy include: personal preference; increased risk of complications from radiation therapy in individuals with certain rare medical conditions such as certain autoimmune disorders; surgery that would require removing a large amount of diseased breast tissue that would lead to a poor cosmetic result; and tumors that are more likely than average to have a relapse in the breast with breast conservation therapy. Women who are carriers for the “breast cancer gene” (BRCA 1 or 2) may sometimes elect for a double mastectomy.
 Most patients may choose a treatment based on other factors, such as convenience (for example, how far you must travel to receive radiation therapy) or personal preference (wanting to preserve one's breast, wanting a quicker recovery with a lumpectomy, feeling safer if you undergo a mastectomy or being very worried about the possible side effects from radiation therapy). Most women prefer to keep their breast if this is possible to do safely, but there is no right answer that is best for everyone. This decision is one that is ideally made in partnership between a patient and her physician. In some cases, a pre-surgical consultation with a radiation oncologist may be helpful in answering questions about breast-conserving therapy.
 Nearly all physicians will recommend patients be treated with mastectomy instead of breast conservation therapy when the risk of recurrence in the breast is more than 20 percent. This is the case if the tumor is large or multifocal (has more than one focus). This situation occurs for only a small number of women, however."
What are the cosmetic results of breast conservation therapy?,"Eighty percent to 90 percent of women treated with modern surgery and radiotherapy techniques have excellent or good cosmetic results; that is, little or no change in the treated breast in size, shape, texture or appearance compared with what it was like before treatment.
 Patients with large breasts seem to have greater shrinkage of the breast after radiation therapy than do patients with smaller breasts. However, this problem usually can be overcome with the use of higher x-ray energies or with IMRT. Partial breast radiation using external radiation therapy or brachytherapy can also be considered if the patient has a small early-stage tumor. This treatment is still undergoing clinical investigation. Certain single institution studies on brachytherapy and intraoperative radiation (IORT) have shown some promising results. You would need to discuss this with your doctor before or shortly after surgery to determine if you qualify for partial breast radiation."
What is the prognosis after breast cancer recurrence?,"Many patients with a recurrence of breast cancer can be successfully treated, often with methods other than radiation if radiation was used in the initial treatment. For patients treated initially for invasive breast cancer, five percent to 10 percent will be found to have distant metastases at the time of discovery of the breast recurrence. The same proportion will have recurrences that are too extensive to be operated on. While in these cases the patient's disease can often be managed over a period of years, the goals of treatment change from obtaining a cure to preventing further progression or managing symptoms. Five-year cure rates for patients with relapse after breast conservation therapy are approximately 60 percent to 75 percent if the relapse is confined to the breast and a mastectomy is then performed.
 For patients treated initially for DCIS, about one-half of recurrences are invasive and one-half noninvasive DCIS. Long-term control rates following recurrence after initial breast conservation therapy have been high, often over 90 percent."
What happens during radiation therapy for breast cancer,Radiation therapy uses high-energy x-rays (photons) or a stream of particles. When radiation is used at therapeutic doses (many times those used for x-ray imaging exams) it can destroy abnormal cells that cause cancer and other illnesses.
What are possible side effects of radiation therapy for breast cancer?,"There are usually no immediate side effects from each radiation treatment given to the breast. Patients do not develop nausea or hair loss on the head from radiation therapy to the breast.
 Most patients develop mild fatigue that builds up gradually over the course of therapy. This slowly goes away one to two months following the radiation therapy. Most patients develop dull aches or sharp shooting pains in the breast that may last for a few seconds or minutes. It is rare for patients to need any medication for this. The most common side effect needing attention is skin reaction. Most patients develop reddening, dryness and
 itching of the skin after a few weeks. Some patients develop substantial irritation.
 Skin care recommendations include:
 
 Keeping the skin clean using gentle soap and warm but not hot water
 Avoiding extreme temperatures while bathing
 Avoiding trauma to the skin and sun exposure (use clothing as a barrier or a sunscreen with at least SPF 30)
 Avoiding shaving the treatment area with a razor blade (use an electric razor if necessary)
 Avoiding use of perfumes, cosmetics, after-shave or deodorants in the treatment area (use cornstarch with or without baking soda in place of deodorants)
 Using only recommended unscented creams or lotions after daily treatment
 
 Some patients develop a sunburn-like reaction with blistering and peeling of the skin, called ""moist desquamation."" This usually occurs in the fold under the breast or in the fold between the breast and the arm, or sometimes in the area given a radiation boost. Most people with a limited area of moist desquamation can continue treatment without interruption. Sometimes, topical medications (those applied to the surface of the body) are prescribed. When treatment must be interrupted, the skin usually heals enough to allow radiation to be resumed in five to seven days. Skin reactions usually heal completely within a few weeks of completing radiotherapy."
What are some of the possible risks or complications of radiation therapy for breast cancer,"Minor complications include:
 
 Slight swelling of the breast during radiotherapy. This usually goes away within six to 12 months.
 The skin becomes darker during the course of radiotherapy, similar to tanning from the sun. In most cases, this also fades gradually over six to 12 months.
 Most women will have aches or pains from time to time in the treated breast or the muscles surrounding the breast, even years after treatment. The reason why this happens is not clear; however, these pains are harmless, although annoying. They are not usually a sign that the cancer is reappearing.
 Rarely, patients may develop a rib fracture years following treatment. This occurs in less than one percent of patients treated by modern approaches. These heal slowly by themselves.
 
 More serious complications include:
 
 Radiation therapy given to the axillary lymph nodes can increase the risk of patients developing arm swelling (""lymphedema"") following axillary (armpit) dissection.
 Radiation therapy given to the axillary lymph nodes may rarely cause numbness, tingling or even pain and loss of strength in the hand and arm years after treatment.
 Some patients develop ""radiation pneumonitis,"" a lung reaction that causes a cough, shortness of breath and fevers three to nine months after completing treatment. Fortunately,
  it is usually mild enough that no specific treatment is needed and it goes away within two to four weeks with no long-term complications.
 Radiotherapy may damage the heart. Fortunately, modern radiation techniques treat much less of the heart than treatments used in the past. Current studies have found no increased risk of serious heart disease in patients treated with modern techniques even 10 to 20 years after radiotherapy treatment was given. However, there is still some uncertainty about the risks of radiation causing heart disease for individuals who smoke or have pre-existing heart disease, or for those who receive certain chemotherapy drugs. It is likely that such risks will also be found to be very small. Fortunately, newer radiation techniques treat patients in the prone position (patient lying on their stomach, pulling the breast away from the heart) or use deep inspiration technique (taking a deep breath and pulling the chest away from the heart during radiation therapy). Both techniques may further reduce radiation related heart injury.
 Women age 45 or younger at the time of treatment may have a slightly increased risk (by a few percent at most) of developing cancer of the other breast with time, compared with the risk they would have if they did not undergo radiation. There is a very small risk (perhaps one in 1,000 individuals) that cancers may develop five, 10, 20 or more years later in the skin, muscle, bone or lung directly in the area of treatment.
 Patients may rarely develop a breakdown of the skin or such severe pain in the breast that surgery is needed for treatment."
What kind of treatment follow-up should I expect for breast cancer?,"The major goal of follow-up is, if possible, to detect and treat recurrences in the irradiated breast or lymph nodes and new cancers developing later in either breast before they can spread to other parts of the body. The
 routine use of bone scans, chest x-rays, blood tests and other tests to detect the possible spread to other organs in patients without symptoms does not appear to be useful. Your physician will determine a follow-up
 schedule for you. This may include a physical exam every few months for the first several years after treatment and then every six to 12 months or so after that. Annual follow-up mammograms are an important part of your care. If symptoms or clinical circumstances suggest a recurrence, diagnostic tests such as blood tests, ultrasound, computed tomography (CT), magnetic resonance imaging (MRI), chest x-ray (CXR), or bone scan may be needed."
Are there any new developments in treating breast cancer?,"Partial breast irradiation with brachytherapy and IORT or IMRT is being explored and compared to whole breast irradiation. Additionally, hypofractionated whole breast radiation therapy (shorter course of radiation therapy at higher doses per day) is becoming more common in North America.
 Clinical Trials
 For information and resources about clinical trials and to learn about current clinical trials being conducted, see...
 
 Clinical Trials - from the National Cancer Institute's Web site"
What is pancreatic cancer?,"Pancreatic cancer begins in the pancreas, an organ located deep in the abdomen behind the stomach. The pancreas releases hormones called insulin and glucagon to help the body process sugar. It also produces enzymes to help the body digest fats, carbohydrates and proteins.
 Pancreatic cancer affects about 46,000 Americans a year, making it the twelfth most common type of cancer in the United States. Pancreatic cancer usually does not produce symptoms in the early stages of the disease, and its cells do not produce substances that are easily measured. As a result, patients often experience no symptoms until the tumor has spread into surrounding organs. Eight out of ten patients are diagnosed after the cancer has spread (or metastasized) beyond the pancreas. Research is ongoing to help better understand the disease and to identify new and more effective treatments."
What are the treatment options for pancreatic cancer?,"Treatment options overview
 Pancreatic cancer is usually treated with a combination of surgery, radiation and chemotherapy. The type of treatment depends on the stage of the tumor (how far it has spread) and how close it is to blood vessels. Your physician will help you weigh the treatment options as they relate to your age, overall health and personal preferences.
 Standard treatment options include:
 Surgery
 Patients with pancreatic cancer often have some form of surgery as part of their treatment plan. These surgeries are complicated and patients are urged to choose a hospital that performs pancreatic surgeries on a regular basis. The pancreas is divided into three parts: the head, the body and the tail. The type of surgery performed depends on the location of the tumor within the pancreas and whether the tumor has affected blood vessels and other organs near the pancreas.
 
 The Whipple Procedure: This surgery is performed on tumors is located in the head of the pancreas. During this surgery, the head of the pancreas is removed as well as the first part of the small intestine (also known as the duodenum), the gallbladder and part of the bile duct. Sometimes parts of the stomach and nearby lymph nodes are also removed. The remaining part of the pancreas, the stomach and the intestine are reconnected so you can still digest food.
 Distal Pancreatectomy: This surgery is performed on tumors that are located in the body or tail of the pancreas. During this surgery, the body and tail are removed. The spleen is often removed as well.
 Total Pancreatectomy: This surgery is performed on tumors located in all three areas of the pancreas. During this surgery, the entire pancreas is removed as well as the gallbladder, spleen, nearby lymph nodes and parts of the stomach, small intestine, and bile duct. It is possible to live without a pancreas but patients will need insulin treatment and enzyme replacement for the rest of their lives.
 
 Sometimes, patients may have tumors blocking the gallbladder or the stomach, and surgery may be performed to bypass the blockages. While these surgeries don't eliminate the cancerous tumor, they can greatly improve quality of life for the patient.
 Radiation Therapy
 Radiation therapy uses high-energy x-rays or other forms of radiation to kill cancer cells or keep the tumors from growing. Some patients undergo radiation therapy in order to shrink tumors before surgery. Three types of radiation are typically used to treat pancreatic cancer: external beam therapy (EBT), stereotactic body radiotherapy (SBRT) and proton therapy. Radiation therapies are often used in combination with surgery and/or chemotherapy.
 
 External beam therapy (EBT): During EBT, high-energy x-ray beams are delivered to the tumor. Beams are usually generated by a linear accelerator and targeted to destroy cancer cells while sparing surrounding normal tissues. Most pancreatic cancer patients receive a type of external beam therapy called Intensity-Modulated Radiation Therapy (IMRT). IMRT is a type of 3-D radiation that uses linear accelerators to safely and painlessly deliver precise radiation doses to a tumor while minimizing the dose to surrounding normal tissue. EBT typically requires daily treatment over a period of three to six weeks. See the External Beam Therapy page for more information. See the Intensity-Modulated Radiation Therapy page for more information about IMRT.
 Stereotactic body radiotherapy (SBRT): SBRT is a newer type of radiation therapy which uses special equipment to deliver precisely-targeted radiation in fewer high-dose treatments than traditional EBT. The total dose of radiation is divided into smaller ""fractionated"" doses given over several days instead of several weeks. This helps preserve healthy tissue. The use of SBRT for pancreatic cancer is only used in specialized cancer centers. See the Stereotactic body radiotherapy page for more information about SBRT.
 Proton beam radiation therapy: Proton beam radiation therapy delivers radiation to the tumor in a much more confined way than conventional radiation therapy. It allows the radiation oncologist to deliver a higher dose to the tumor while still minimizing side effects. This can be especially helpful in treating pancreatic cancer since the pancreas is located so closely to other essential organs. Proton beam radiation therapy still requires daily treatment over a period of four to five weeks and is only available at specialized cancer centers. See the Proton Therapy page for more information.
 
 Chemotherapy
 This treatment involves the use of drugs given intravenously (by vein) or orally to kill cancer cells or to keep them from dividing and multiplying. Chemotherapy may be used alone or in combination with radiation. Like radiation therapy, chemotherapy can ease symptoms and increase survival for patients with tumors that have spread (metastasized). Patients usually receive chemotherapy treatment sessions over a set period of time with breaks in between to alleviate potential side effects, such as abnormal blood-cell counts, fatigue, diarrhea, mouth sores, and a weakened immune system.
 Newer, advanced chemotherapy options have recently been developed. These newer options help avoid damaging normal, healthy tissues while stopping cancer cells from spreading and multiplying.
 How can I choose from among the options?"
How to choose treatments for pancreatic cancer?,"In addition to talking with family and friends, you will need a team of doctors to help advise you. This team will include a medical oncologist, a radiation oncologist, a surgeon and a palliative (pain) care doctor. A medical oncologist specializes in using chemotherapy to treat cancer. A radiation oncologist specializes in using radiation to treat cancer. The surgeon removes cancer or performs surgical procedures to bypass blockages from pancreatic cancer tumors. The palliative care doctor specializes in reducing or eliminating pain and other symptoms associated with the cancer.
 You and your care team will create a treatment plan, which will be determined in part by the stage and severity of your cancer. Most patients with pancreatic cancer will be treated with a combination of surgery, radiation and chemotherapy. It is also possible for patients to choose no treatment if the cancer is very advanced. These patients will work closely with the palliative care doctor to minimize pain and preserve their quality of life."
"If I choose surgery, will I need radiation therapy or vice versa?","Pancreatic cancer is rarely diagnosed in its early stages. Therefore, most patients will undergo some combination of surgery, radiation and chemotherapy. In many cases, the goal of the surgery is not to remove the cancerous tumor but to help reduce pain and other symptoms caused by the tumor. A combination of radiation therapy and chemotherapy is often used to shrink a tumor prior to surgery or to keep a tumor from growing. Radiation therapy may also be used to prevent the tumor from coming back."
What happens during radiation therapy for pancreatic cancer?,Radiation therapy uses high-energy x-rays (photons) or a stream of particles (protons). Radiation at high doses can destroy abnormal cells at the microscopic level. Patients will hear some electrical noise and see lights on the machine but will not feel the radiation during treatment. Radiation treatment is typically given to patients in multiple sessions over a course of weeks.
What are possible side effects of radiation therapy for pancreatic cancer?,"After multiple radiation therapy sessions, patients often become tired. While adequate rest is important, doctors usually advise patients to try to stay as active as possible. Patients may have an upset stomach, diarrhea or loose stools, nausea, vomiting and loss of appetite while being treated with radiation therapy. Sometimes patients will have skin changes or irritation in the area where the radiation beam enters the body. Patients may also experience low levels of red blood cells and/or white blood cells, increasing their risk of infection. These side effects are generally short term, lasting two to three weeks after treatment."
What kind of treatment follow-up for pancreatic cancer?,"Once your pancreatic cancer treatment is complete, you and your treatment team will decide on a follow-up plan. Patients with early stage cancers and neuroendocrine tumors will typically follow up with a medical oncologist or family doctor every six months for the two years after treatment and then every year after. All pancreatic cancer patients will need to have regular blood tests. If the pancreas no longer functions properly or has been removed, pancreatic enzyme replacement therapy and insulin treatment may be required. Living with cancer can be emotionally difficult for you and your loved ones. Finding a therapist who specializes in treating cancer patients is highly recommended."
Are there any new developments in treating pancreatic cancer?,"Clinical Trials
 For information and resources about clinical trials and to learn about current clinical trials being conducted, visit:
 
 RadiologyInfo's Clinical Trials page.
 Clinical Trials - from the National Cancer Institute's Web site"
What is cervical cancer?,"Cervical cancer is a malignant tumor that starts in the cells of the cervix. This is the lower part of the uterus that connects the uterus and the vagina. According to the American Cancer Society, cervical cancer is most frequently diagnosed in women between the ages of 35 and 44.
 Most cervical cancers are the result of a previous infection with the human papilloma virus (HPV). HPV may be spread through vaginal, anal, or oral sex. HPV vaccination is recommended in adolescents age 11-12 prior to first sexual encounter. However, it is approved for adults up to the age of 26 and considered appropriate in some people up through 45. It is important to note that both men and women can receive the HPV vaccine. For women, regular gynecological care will also help reduce your risk for cervical cancer through routine pap smears and HPV testing. See the Cervical Cancer page for more information."
What are the available treatments for cervical cancer?,"Treatment options overview
 Cervical cancer treatment options depend on the stage of the tumor. The stage indicates if and how far cancer has spread to other parts of the body. Your doctor may use CT, MRI, chest X-ray or a PET scan to identify the stage of your cancer. This will help determine what treatments are available to you.
 Treatment options include:
 
 Surgery
 Radiation Therapy
 Chemotherapy
 Targeted Therapy
 
 Your treatment may use one or more of these options. Your doctor will weigh the advantages and disadvantages of each option as they relate to your age, overall health, future childbearing plans and personal preferences.
 Surgery:
 For Stage 0 or precancerous disease, patients typically undergo one of the following procedures. These procedures allow women to become pregnant in the future:
 
 Cryosurgery: During this procedure, gas is used to cool a metal probe. The probe is placed directly onto the cervix where it freezes and kills abnormal cells. For more information see Thermal Ablation for Tumor Treatment.
 Laser Surgery: This procedure uses a focused laser beam to burn off abnormal cervical cells. It may also be used to remove a small piece of the cervix for further lab testing.
 LEEP (loop electrosurgical excision procedure)/Conization: This procedure uses a wire loop heated by an electric current to remove abnormal cells from the cervix. In conization, the surgeon uses a scalpel to remove a cone shaped piece of abnormal tissue.
 
 Under special circumstances, early stage cervical cancer patients, who want to become pregnant in the future may undergo:
 
 
 Conization (described above).
 Simple trachelectomy: This surgery removes the cervix.
 Radical trachelectomy: In addition to removing the cervix, a margin of the vagina and tissue next to the cervix (or parametrium) is removed but the uterus is kept intact. Pelvic lymph nodes also are removed. The surgeon places a ""purse-string"" stitch (or cerclage) at the lower end of the uterus. This allows for the possibility of the patient carrying a pregnancy to term. Such a pregnancy would likely be considered high-risk.
 
 
 The decision to proceed with surgery in patients who do not want to become pregnant depends on stage. Surgical options include:
 
 Simple hysterectomy: This surgery removes the uterus and cervix but leaves the structures surrounding the uterus intact. No lymph nodes are removed. This eliminates any possibility of a future pregnancy.
 Radical hysterectomy: This surgery removes the uterus, cervix, upper part of the vagina and some ligaments and tissue near the uterus. Pelvic lymph nodes also are removed. The ovaries are generally not removed. This eliminates any possibility of a future pregnancy.
 Hysterectomies can be performed through:
 
 the vagina (vaginal hysterectomy)
 a large incision in the abdomen (abdominal hysterectomy) or
 a small incision in the abdomen (laparoscopic hysterectomy, which includes robotic assistance).
 
 Any removal of the uterus prevents a woman from becoming pregnant in the future.
 Radiation therapy:
 Radiation therapy uses high-energy x-rays or other forms of radiation to kill cancer cells or keep them from growing. Two types of radiation therapy — external beam therapy (EBT), brachytherapy or both — are typically used to treat cervical cancer. Radiation therapies are often used together or in combination with surgery.
 
 External Beam Therapy (EBT): EBT delivers high-energy x-ray or electron beams to the tumor. Beams are usually generated by a linear accelerator and targeted to destroy cancer cells while sparing surrounding normal tissues. Many patients receive a type of EBT called Intensity-Modulated Radiation Therapy (IMRT). IMRT is a type of 3-D radiation that safely and painlessly delivers a precise radiation dose to a tumor while minimizing the dose to surrounding normal tissue. EBT typically requires daily treatment over a period of four to six weeks. See the External Beam Therapy page and the Intensity-Modulated Radiation Therapy page for more information.
 Brachytherapy or internal radiation therapy: Brachytherapy uses a delivery device to place radioactive material inside the patient on a temporary or permanent basis. This kind of radiation only travels short distances as opposed to EBT. It allows your doctor to use a higher total dose of radiation to treat a smaller area in less time than EBT.
 Cervical cancer brachytherapy is known as intracavitary brachytherapy. A device containing radioactive material is inserted into the vagina, the cervix and sometimes into the tissue surrounding the cervix. There are two types of intracavitary brachytherapy:
  
 Low-dose rate (LDR) brachytherapy: LDR is performed in a hospital setting and requires a patient to stay overnight for several days. Patients are typically given medication to help them relax during the procedure, which is performed in an operating room usually under general anesthesia. For women who still have a uterus, the delivery devices are known as a tandem and ovoid applicator. The tandem is inserted through the cervix and into the uterus, and the ovoid is placed near the cervix. The radioactive sources are then inserted into the tandem and ovoid. To protect healthy tissue, sterilized material is often placed around the applicator to push the bladder and rectum away from the treatment area. Once the device is in place and the radiation material is inserted, the patient is moved to a shielded hospital room where the radiation is delivered over a period of two to three days. During this time, the patient will receive medication to remain comfortable. Trained nurses and physicians will care for the patient over the course of treatment but will take precautions to avoid radiation exposure.
 High-dose rate (HDR) brachytherapy: This treatment may be delivered on an outpatient basis, although on occasion the device that is implanted will remain in place overnight and may require a brief hospital stay. HDR brachytherapy requires several treatments, usually separated by a period of days or even up to a week. Insertion of the HDR brachytherapy device (most frequently a tandem and ovoid applicator) may be performed under general anesthesia or moderate sedation. The patient typically undergoes a CT or MRI scan to help the radiation oncologist plan where the radiation should be delivered. The tandem is inserted through the cervix and into the uterus, and the ovoid is placed near the cervix. The patient is then moved to a shielded room and connected to the source of radiation, which is delivered through the applicator and removed after several minutes. Frequently a few treatments will be delivered, spaced over a period of a day or two. There is no radioactivity in the radiation applicator between treatments. The patient will stay in a standard (non-shielded) hospital room in-between treatments. Patients are given medication to help them relax during the procedure. Intracavitary brachytherapy may be used for women who have had radical hysterectomies and who no longer have a uterus and cervix. Instead of inserting a tandem and ovoid, a shorter device called a cylinder is placed into the vagina. A tube with radioactive material is then placed through the cylinder to deliver the radiation locally. See the Brachytherapy page for more information.
 
 
 
 Chemotherapy:
 This treatment administers drugs intravenously (by vein) or by mouth to kill cancer cells or to keep them from reproducing. IV chemotherapy is typically used in combination with radiation to decrease the chance of the disease returning elsewhere in the body. When chemotherapy is given with radiation for cervical cancer, it is given at a lower dose. This has been shown to help the radiation therapy work better. Like radiation therapy, chemotherapy can ease symptoms and increase survival for patients with tumors that have spread (metastasized). Patients usually receive chemotherapy over a set period of time with breaks in between to ease potential side effects. These effects may include abnormal blood-cell counts, fatigue, diarrhea, mouth sores and a compromised immune system.
 Newer, advanced chemotherapy options help avoid damaging healthy tissue while stopping cancer cells from spreading and reproducing.
 Targeted therapy/monoclonal antibodies and immunotherapy:
 Targeted therapy gives small amounts of manmade ""monoclonal"" antibodies to patients through intravenous (IV) infusion. Monoclonal antibodies mimic the body's natural antibodies that identify and fight foreign objects such as viruses and bacteria. Once inside the body, monoclonal antibodies latch onto substances on the surface of cancer cells. This kills the cancer cells or blocks their growth. Bevacizumab (Avastin®) is a common monoclonal antibody used for cervical cancer. Once inside the body, it binds to a protein called vascular endothelial growth factor and helps prevent the growth of new blood vessels that feed cancer cells. This therapy is generally used to treat cancer that has spread outside the cervix and its immediate area. It is also used to treat recurrent cervical cancer. Recent data suggests that Pembrolizumab (Keytruda®), an immune therapy, can be used in cervical cancers that make too much of the protein PDL-1. PDL-1 binds to the protein PD-1, which keeps your body from killing cancer cells. Pembrolizumab works by blocking this attachment. This therapy is used to treat cancer that has stopped responding to chemotherapy, cannot be removed by surgery, or has returned."
How to choose the treatment for cervical cancer?,"In addition to talking with family and friends, you will need a team of doctors to help advise you. This team will include your gynecologist, a gynecologist oncologist, and a radiation oncologist. A gynecologist oncologist specializes in women's reproductive cancers. The gynecologist oncologist surgically removes cancer or helps radiation oncologists implant radioactive materials. A radiation oncologist uses radiation to treat cancer. You and your care team will create your treatment plan. Your plan will mostly be determined by the stage and severity of your cancer. It will also depend on your future plans for pregnancy. Early stage cervical cancer is typically treated with surgery or radiation combined with chemotherapy. Advanced or recurrent cervical cancers are typically treated with a combination of radiation and chemotherapy. Sometimes, advanced cervical cancer patients will only receive chemotherapy."
What happens during radiation therapy for cervical cancer?,"Radiation therapy uses high-energy x-rays (photons). Used at high doses (many times those used for x-ray imaging exams), it can destroy cancer cells with each treatment. This happens at a microscopic level. Patients do not feel the radiation during treatment. They will only hear some electrical noise from the machine and may notice safety warning lights in the room."
What are possible side effects of radiation therapy for cervical cancer?,"As treatment progresses, you may become tired. Adequate rest is important, you should try to stay as active as you can. You may have upset stomach, diarrhea or loose stools (if radiation is given to the pelvis or abdomen), nausea and vomiting during EBT. Some patients will have skin changes or irritation in the area where the radiation has passed through the skin to the cancer. If the irritation leads to peeling, you must be careful to clean and protect the area to avoid infection.
 Other side effects from EBT include:
 
 Radiation cystitis: irritation to the bladder, causing an urge to urinate often.
 Vaginal pain: increased sensitivity and soreness in the vagina, which can also result in discharge.
 Menstrual changes: radiation to the pelvis can affect the ovaries and often result in menstrual changes or early menopause.
 Low blood counts: radiation can affect how your body is functioning overall. This can result in low levels of red blood cells and/or white blood cells.
 
 Women undergoing brachytherapy often see similar side effects to those associated with EBT. These may include fatigue, diarrhea, nausea, irritation of the bladder and low blood counts. Also, because the radiation used in brachytherapy only travels a short distance, the vagina and the vulva may become red and sore and have a discharge. Patients often receive brachytherapy and EBT close together. This may make it more difficult to tell which treatment is causing the side effects.
 These side effects generally last two to three weeks after treatment is over. However, there are some long-term side effects that may or may not resolve.
 
 Vaginal stenosis: Both EBT and brachytherapy can cause scar tissue to form in the vagina. The scar tissue can make the vagina narrower (called stenosis), less able to stretch, or shorter. This can make sexual intercourse painful.
 Vaginal dryness: Vaginal dryness can be a long-term side effect from both EBT and brachytherapy. Estrogen creams are often used to help improve the dryness, especially if the radiation treatment results in early menopause.
 Irregular bowel movements that may be more frequent or urgent.
 Bowel obstruction that could require surgery to fix.
 Bladder damage that could cause bleeding in the urine.
 Weakened bones: Radiation to the pelvis can weaken the bones. This can put a woman at high risk of fractures. Hip fractures are the most common fracture seen in women, typically within the first few years after radiation. Bone density tests are recommended to monitor this risk. See the Bone Density Scan page for more information.
 Swelling of the leg(s): If pelvic lymph nodes are treated with radiation, it can lead to fluid drainage problems in the leg. Some women experience swelling in the leg, a condition called lymphedema. Non-invasive treatments for lymphedema are available.
 Early menopause and infertility: Radiation therapy is likely to cause early menopause and permanent infertility. Women of child-bearing age who may be pregnant or wish to become pregnant should talk to their doctors. Talk to your doctor about the possibility of hormone-replacement therapy as well."
What kind of treatment follow-up for cervical cancer?,"Once treatment is complete, you and your treatment team will decide on a follow-up plan. Early stage cancers will likely require follow up with your gynecologist oncologist. These appointments should be done every three months for the next two years and every six months for the following three years. Exams are performed annually thereafter. You will also need to have an annual pap smear test (including patients who have had a hysterectomy). Patients with more advanced cancer will need to be followed by both your gynecologist oncologist and radiation oncologist. These appointments will start within weeks of finishing your treatment to address any side effects. Once it is determined that the treatment has worked, your visits will be spaced further apart. At these visits, your doctor may order PET or CT scans. See the PET/CT Scan page for more information."
Are there any new developments in treating cervical cancer?,"Clinical Trials
 For information and resources about clinical trials and to learn about current clinical trials being conducted, visit:
 
 RadiologyInfo's Clinical Trials page.
 Clinical Trials - from the National Cancer Institute's Web site"
What is a Radiation Oncologist?,"Radiation oncologists are physicians who oversee the care of each cancer patient undergoing radiation treatment. After determining whether a patient is a candidate for radiation therapy, they review the side effects and benefits of treatment with the patient. Next, they develop and prescribe each cancer patient's radiation treatment plan and make sure that every treatment is accurately given. They monitor the patient's progress and adjust treatment to make sure patients receive quality care. Radiation oncologists also help identify and treat any side effects of radiation therapy. They work closely with other physicians and all members of the radiation oncology team. Radiation oncologists have completed four years of college, four years of medical school, one year of general medical training, then four years of residency (specialty) training in radiation oncology. They have extensive training in the safe use of radiation to treat disease. If they pass a special examination, they are certified by the American Board of Radiology. They participate in maintenance of certification, a process that ensures that they are up to date on advances in the field. Patients should ask if their doctor is board certified."
What is the role of a Therapeutic Medical Physicist in radiation therapy?,"A therapeutic medical physicist is a qualified medical physicist who works directly with the doctor in treatment planning and delivery. Therapeutic medical physicists oversee the work of dosimetrists and help ensure that complex treatments are properly tailored for each patient. They are responsible for developing and directing quality control programs for equipment and procedures that ensure the equipment works properly. They also take precise measurements of radiation beam characteristics and do other safety tests on a regular basis. Therapeutic medical physicists have doctorates or master's degrees and have completed four years of college, two to four years of graduate school and typically one to two years of clinical physics training. If they pass a special examination, they are certified by the American Board of Radiology or the American Board of Medical Physics. They participate in maintenance of certification, a process that ensures that they are up to date on advances in the field."
Who is the radiation therapist,"Radiation therapists work with radiation oncologists. They administer the daily radiation treatment under the doctor's prescription and supervision. They maintain daily records and regularly check the treatment machines to make sure they are working properly. Radiation therapists go through a two- to four-year educational program following high school or college. They take a special examination and must be certified by the American Registry of Radiologic Technologists. In addition, many states require that radiation therapists be licensed."
